#Cfactor 0.029882076
Recipient Pop1 Pop2 Pop3 Pop4 Pop6 Pop7 Pop8 Pop9 Pop11 Pop12 Pop13 Pop5
Pop2_13 956.559095 3306.31166 4051.37884 2394.75699 2731.78333 975.399164 3577.26357 3578.12929 3546.66536 2657.38498 1335.29795 953.380699
Pop2_14 943.786514 3313.25602 4057.97658 2398.66084 2738.37853 980.299249 3566.97545 3571.72026 3541.49528 2646.886 1336.09007 955.361522
Pop2_15 948.5332 3314.19884 4051.37764 2401.5384 2745.88351 977.377746 3575.96026 3572.88332 3538.30581 2649.07936 1345.22827 952.977617
Pop2_16 946.973387 3303.70685 4039.33095 2398.69484 2744.86069 975.478369 3573.52307 3582.18026 3544.2478 2650.01726 1343.72757 958.856394
Pop2_17 951.405553 3313.99056 4048.47396 2401.24185 2741.71225 978.641848 3575.32948 3581.75732 3541.8112 2655.21052 1331.52039 954.044482
Pop2_18 945.154618 3307.47977 4042.18563 2407.92722 2748.55748 979.554853 3591.05833 3589.54891 3525.56456 2647.01562 1342.37178 952.976492
Pop2_19 947.472769 3297.13768 4033.32531 2394.397 2742.78344 977.432142 3596.67773 3596.067 3542.34442 2653.78754 1338.00598 953.802472
Pop2_20 951.169311 3314.4965 4047.69832 2404.68211 2741.20516 977.564324 3580.5434 3579.60297 3537.09717 2647.53206 1342.87576 953.279826
Pop2_21 949.528825 3295.27046 4048.27427 2397.58083 2730.32446 977.907236 3590.37875 3586.40233 3565.01334 2661.85212 1342.10318 952.848624
Pop2_22 945.755187 3334.4583 4060.58274 2401.20075 2749.72294 980.46261 3581.41487 3578.64408 3534.37621 2640.41839 1332.8382 948.980302
Pop2_23 948.437008 3302.57249 4048.12648 2395.36651 2745.41975 972.074348 3579.34881 3580.51922 3548.86146 2657.59002 1347.34046 954.280125
Pop2_24 949.066427 3306.73032 4051.52941 2396.94359 2735.65706 974.723438 3579.52329 3579.25722 3545.81722 2654.78708 1334.96749 951.797105
Pop2_25 953.813875 3305.54219 4045.3961 2406.47606 2746.91426 982.418862 3571.11961 3576.55452 3544.82292 2652.34742 1333.73096 953.501088
Pop2_26 948.885731 3294.29724 4025.59139 2395.30043 2740.89954 977.642046 3583.36441 3586.25946 3557.23461 2667.42224 1339.22174 952.348399
Pop2_27 950.00372 3316.81586 4041.1933 2396.89839 2736.78371 976.593348 3585.80989 3587.84087 3557.67313 2660.79677 1334.17825 952.667193
Pop2_28 945.73806 3314.23366 4040.2289 2404.975 2743.95091 972.237131 3581.39896 3574.05598 3538.47496 2647.3254 1338.05034 953.402932
Pop2_29 947.913916 3305.43451 4046.33751 2400.07589 2745.73423 975.626765 3588.90683 3587.63077 3542.64185 2650.22987 1336.03525 951.648819
Pop2_30 943.793881 3316.08977 4037.81022 2396.30018 2738.1316 977.128197 3587.60799 3578.97658 3552.1381 2657.50801 1337.17045 952.56531
Pop2_31 947.296449 3310.1644 4048.77212 2400.41634 2751.76119 978.831471 3598.44996 3596.01293 3530.61883 2634.96348 1337.98653 955.438028
Pop2_32 942.680481 3318.36968 4038.48052 2403.10273 2742.48577 978.447532 3580.28911 3580.99927 3542.95416 2653.74737 1333.85726 957.221516
