#Cfactor 0.029518831
Recipient Pop1 Pop2 Pop3 Pop4 Pop5 Pop6 Pop7 Pop8 Pop9 Pop11 Pop12 Pop13
Pop2_15 939.583263 3284.89891 4009.29783 2368.60502 945.760324 3885.07239 963.690494 3530.17812 3529.14645 3498.69456 2616.61804 550.10399
Pop2_16 933.350361 3270.6246 3999.27056 2369.42631 946.586168 3879.55287 965.056163 3520.29785 3530.46552 3499.11339 2617.08857 549.136562
Pop2_17 938.838951 3273.46881 3997.28932 2370.46806 937.761282 3869.65482 962.230078 3532.17496 3540.53962 3497.13849 2618.81031 543.608168
Pop2_18 933.986088 3276.24265 3988.86999 2379.30035 943.40554 3886.58927 964.537932 3547.32667 3545.81273 3490.56596 2618.52046 546.852534
Pop2_19 936.417563 3265.86304 3984.49064 2360.01079 941.314648 3874.15587 962.282944 3551.34433 3552.24326 3500.51179 2622.24838 546.920841
Pop2_20 941.382668 3292.54103 4010.3291 2368.113 945.694355 3879.74479 962.010936 3532.98087 3534.96062 3490.96072 2610.86268 547.008233
Pop2_21 935.914087 3268.15738 3997.4522 2367.72572 944.428722 3875.50051 965.269268 3547.93385 3542.43606 3510.83943 2624.20493 549.306555
Pop2_22 934.832524 3287.73562 4013.69759 2363.80263 941.144869 3882.79715 964.319293 3537.8671 3538.32491 3491.15798 2608.26085 543.476739
Pop2_23 937.451868 3270.44313 3995.35159 2367.9693 942.488527 3881.98528 958.439446 3531.28353 3533.60122 3507.8854 2628.39514 549.266723
Pop2_24 939.666252 3274.52937 4006.46081 2366.00177 939.206308 3863.49244 960.799502 3533.9119 3529.83494 3499.72438 2617.38282 546.619606
Pop2_25 942.551249 3279.36045 3995.32801 2373.56002 944.586733 3880.79923 964.269529 3523.79513 3531.90275 3498.9439 2622.84028 543.519077
Pop2_26 938.435285 3263.73677 3981.32316 2363.83059 941.932339 3864.46386 958.704023 3535.3366 3541.96126 3512.91251 2630.23095 544.294122
Pop2_27 937.115156 3272.32135 3988.25855 2365.03477 938.041975 3871.84213 962.770635 3544.41962 3544.97933 3513.50309 2630.01965 546.164942
Pop2_28 934.668858 3270.41934 3989.5166 2370.11156 941.383964 3874.81739 962.854588 3539.89144 3534.22233 3496.67823 2616.8958 546.154692
Pop2_29 934.645085 3269.83269 3988.28513 2368.83366 944.323978 3884.44504 960.978843 3539.22297 3538.90778 3502.0803 2621.97583 546.545249
Pop2_30 934.632769 3274.64028 3989.07392 2359.29948 942.668729 3877.13824 965.819648 3543.58897 3537.17439 3504.87508 2623.31402 547.633569
Pop2_31 937.24969 3280.92922 3999.35234 2372.15925 942.172507 3879.57447 962.366788 3543.02365 3543.31968 3483.17508 2598.5751 546.732395
