#Cfactor 0.0292987876
Recipient Pop1 Pop2 Pop3 Pop4 Pop5 Pop6 Pop7 Pop8 Pop9 Pop11 Pop12 Pop13
Pop2_5 931.30758 3277.96616 3988.3846 2356.47917 941.441564 3880.1756 965.995207 3516.60593 3518.48531 3491.15462 2608.6537 549.806838
Pop2_6 934.652286 3274.39052 3984.89506 2357.73333 946.21552 3885.95269 961.766948 3516.54068 3517.16199 3483.62843 2610.41985 551.144027
Pop2_7 931.517742 3268.75606 3984.91246 2368.44481 945.143359 3886.5189 965.808255 3521.19846 3519.39187 3479.58366 2595.62033 553.863606
Pop2_8 930.525124 3259.67193 3987.95943 2371.28671 944.08363 3884.08816 965.174844 3519.01164 3514.5773 3497.14711 2611.32332 552.528567
Pop2_9 931.271237 3282.61916 3996.04583 2357.1353 946.752568 3880.39019 962.135092 3510.21902 3515.24661 3488.94292 2605.6625 554.588491
Pop2_10 932.432135 3283.32273 4003.37976 2372.73352 944.882814 3882.31971 967.787697 3511.63882 3509.28874 3483.2072 2601.27704 553.027641
Pop2_11 924.134594 3268.74241 3992.09022 2359.424 940.080272 3872.15955 961.506768 3511.33915 3517.65441 3489.61146 2606.88183 551.826427
Pop2_12 937.024406 3286.29744 4000.704 2360.87425 945.863066 3882.33859 961.287358 3504.86897 3510.08639 3473.73575 2594.70703 550.726049
Pop2_13 934.111705 3283.27764 4003.82341 2355.01834 945.301594 3896.78771 963.068417 3512.27129 3514.7839 3480.47567 2605.83133 554.434024
Pop2_14 931.298889 3291.41958 4006.45567 2359.97324 941.760246 3884.41752 961.870615 3515.61741 3514.0497 3489.22862 2599.36695 552.177201
Pop2_15 934.207374 3262.80298 3998.87911 2365.78026 945.855505 3886.38803 964.583011 3520.63916 3514.65914 3494.07185 2612.60438 554.863698
Pop2_16 935.17405 3277.22728 3980.66503 2367.03926 946.515811 3892.3417 960.976915 3519.44628 3517.86422 3493.39432 2603.40209 555.617397
Pop2_17 925.44748 3264.47517 3990.57745 2366.21646 943.502146 3872.73525 967.848513 3510.65804 3520.68604 3502.35332 2614.1599 552.20466
Pop2_18 925.647201 3284.83258 4010.96696 2368.84699 947.075727 3902.60272 965.881243 3506.37003 3500.89451 3472.56234 2600.07094 554.19498
Pop2_19 935.78814 3271.89558 4002.57765 2365.73168 947.80276 3878.2256 963.517583 3505.42308 3506.31835 3487.90482 2610.15106 552.78205
Pop2_20 922.273675 3285.64992 4007.69363 2367.12179 945.116694 3894.60848 968.345708 3510.52314 3514.20349 3479.05976 2601.10557 552.044368
Pop2_21 931.709581 3293.86173 4007.47207 2361.96941 951.919574 3881.74883 968.57561 3510.12829 3510.5562 3477.47529 2597.10395 551.323942
Pop2_22 927.015904 3275.59811 3985.04995 2369.01298 942.847979 3885.14616 962.258652 3509.67472 3515.20418 3494.61407 2612.60422 553.431978
Pop2_23 933.997878 3290.51017 4000.34941 2363.15918 945.912748 3881.01639 960.250408 3519.29526 3517.88229 3495.58389 2618.39172 551.346038
Pop2_24 936.043736 3289.06789 4017.11515 2381.47911 946.786345 3889.65793 965.262755 3506.18667 3498.19119 3470.5355 2582.88007 557.330697
Pop2_25 926.235471 3271.43429 3996.93956 2356.4762 947.417053 3881.63038 966.22911 3505.32398 3506.0228 3498.49075 2605.0745 553.581392
Pop2_26 932.199159 3281.54403 3999.76474 2367.84842 942.612966 3886.04647 966.90201 3503.91598 3513.79424 3493.38242 2610.04268 550.70962
Pop2_27 934.404103 3305.71628 4003.62481 2356.37649 944.550741 3872.09418 955.603794 3508.47143 3511.75285 3480.16577 2602.58011 550.240274
